Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
43,5736,blueAlliance,2,0,0,0,1,0,0,4,3,3,1,0,0,0
44,3970,blueAlliance,3,0,0,0,0,0,0,5,5,6,1,0,2,0
44,801,blueAlliance,2,0,0,0,0,0,0,4,2,2,1,2,0,0
44,3656,redAlliance,2,0,0,0,0,0,0,0,0,0,0,0,3,2
44,5987,redAlliance,2,0,0,0,0,0,0,4,2,0,0,0,0,3
44,540,redAlliance,1,0,0,0,0,0,0,3,4,7,1,1,0,0
44,9635,blueAlliance,0,0,0,0,0,1,6,0,0,0,0,0,0,0
45,6873,blueAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,9245,redAlliance,0,2,2,0,0,0,0,0,8,7,0,1,0,0
45,9496,redAlliance,3,0,0,0,0,0,0,3,0,3,4,0,2,2
45,2539,blueAlliance,3,0,0,0,0,0,0,4,6,5,0,1,0,0
